Team,History,Cycle,DirAdv,CorpAdv,Commission,AgentsDistr,Training,ManagBudget,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
DrugiRusekZ3,3,7,20.0,61.374399999999994,13.0,5,42.0,166666.66666666666,115,4.2,522.0,175.0,0.0,0.0,528.125,529,385
DrugiRusekZ4,3,7,21.0,61.374399999999994,13.0,7,33.0,166666.66666666666,0,2.3,493.0,173.0,11.0,11.2,493.013816925734,568,533
DrugiRusekZ5,3,7,14.0,64.17439999999999,12.0,5,47.0,170000.0,0,4.04,510.0,175.0,0.0,0.0,498.8333333333333,560,545
DrugiRusekZ6,3,7,15.0,58.374399999999994,12.0,5,13.0,166666.66666666666,0,2.3,506.0,175.0,0.0,0.0,503.85714285714283,437,429
FullJoin,3,7,12.0,50.374399999999994,11.0,5,36.0,250000.0,0,4.0,506.0,175.0,0.0,0.0,498.8333333333333,543,580
HEATTEAM,3,7,25.0,68.3744,10.0,6,38.0,203333.3333333333,0,4.09,523.0,170.0,10.2,9.4,478.7415929203539,475,448
Mezzafive,3,7,11.0,35.374399999999994,10.0,5,17.0,216666.66666666666,0,4.01,511.0,180.0,0.0,0.0,510.6666666666667,481,505
MinisterstwoStrategii,3,7,25.0,73.3744,13.0,6,42.0,290000.0,0,4.08,518.0,165.0,7.1,9.4,485.60429447852766,520,343
SGGW,3,7,25.0,59.1744,11.0,5,10.0,166666.66666666666,0,3.92,508.0,183.0,0.0,0.0,496.2857142857143,524,435
SystemyGB,3,7,17.0,61.374399999999994,12.0,7,22.0,191666.66666666666,0,3.98,504.0,162.0,10.4,10.3,500.5514950166113,528,457
Triada,3,7,20.0,66.3744,12.0,4,33.0,166666.66666666666,0,3.23,496.0,180.0,0.0,0.0,491.8333333333333,480,512
UniversalSolutions,3,7,16.0,58.374399999999994,11.0,5,39.0,176333.3333333333,0,4.11,523.0,178.0,0.0,0.0,492.3333333333333,439,450
VinciSquad,3,7,25.0,73.3744,13.0,6,42.0,290000.0,0,4.1,518.0,175.0,8.8,12.0,530.318339100346,588,391
5cars,3,8,15.0,72.82464,12.0,6,12.0,186666.66666666666,93,3.82,491.0,185.0,0.0,0.0,513.2857142857143,570,490
AMS,3,8,29.0,46.70464,13.0,6,37.0,179000.0,0,3.76,510.0,172.0,11.9,10.9,514.3539518900343,546,550
ANA,3,8,35.0,64.02463999999999,12.0,6,20.0,300000.0,0,3.98,539.0,165.0,9.8,9.6,499.16431924882636,530,545
BandTInc,3,8,15.0,55.62464,15.0,6,42.0,233333.3333333333,0,3.9,500.0,175.0,12.3,0.0,504.29761904761904,683,606
Batmaja,3,8,20.0,46.42464,7.0,6,18.0,251000.0,0,3.91,439.0,180.0,10.5,13.6,473.1776315789474,707,531
Bekarty,3,8,27.0,50.224639999999994,12.0,5,42.0,166666.66666666666,0,4.01,500.0,177.0,11.1,10.0,489.99999999999994,553,563
CheckRaise,3,8,15.0,89.54464,8.0,6,33.0,283333.3333333333,0,3.91,489.0,180.0,9.8,11.2,555.676848874598,587,493
DrugiRusekZ1,3,8,12.0,47.10464,12.0,6,10.0,241666.66666666666,0,3.91,580.0,175.0,8.3,7.5,524.4,392,435
DrugiRusekZ2,3,8,15.0,68.50464,10.0,5,0.0,263333.3333333333,0,4.01,510.0,177.0,10.2,9.1,510.58592471358435,507,511
DrugiRusekZ3,3,8,18.0,61.824639999999995,13.0,5,42.0,166666.66666666666,0,3.8,522.0,175.0,0.0,0.0,529.875,519,570
DrugiRusekZ4,3,8,20.0,64.82463999999999,13.0,5,33.0,160000.0,1,2.0,500.0,173.0,11.2,10.2,494.3894927536233,502,567
DrugiRusekZ5,3,8,11.0,67.50464,12.0,5,30.0,168666.66666666666,0,3.7,509.0,180.0,0.0,0.0,498.3333333333333,545,560
DrugiRusekZ6,3,8,15.0,60.02464,12.0,5,0.0,166666.66666666666,27,2.3,510.0,175.0,0.0,0.0,497.14285714285717,424,410
FullJoin,3,8,12.0,50.224639999999994,14.0,5,40.0,250000.0,0,3.9,506.0,175.0,0.0,12.3,501.3333333333333,595,543
HEATTEAM,3,8,35.0,81.02464,11.0,5,37.0,213000.0,0,3.74,494.0,170.0,9.4,10.9,473.1776315789474,543,475
Mezzafive,3,8,13.0,32.22464,10.0,6,17.0,216666.66666666666,0,3.92,513.0,182.0,0.0,0.0,512.4285714285714,451,481
MinisterstwoStrategii,3,8,11.0,64.02463999999999,13.0,6,37.0,313333.3333333333,0,3.98,518.0,165.0,9.4,10.1,515.4621099554234,534,520
SGGW,3,8,25.0,56.504639999999995,11.0,5,8.0,166666.66666666666,24,3.92,508.0,183.0,0.0,0.0,496.2857142857143,524,500
SystemyGB,3,8,17.0,61.82464,12.0,7,20.0,191666.66666666666,5,3.88,488.0,162.0,10.3,11.2,503.92345276872965,577,523
Triada,3,8,15.0,69.82464,11.0,4,23.0,193333.3333333333,0,2.86,496.0,180.0,0.0,8.6,490.0,446,480
UniversalSolutions,3,8,16.0,61.02464,10.0,5,20.0,178333.3333333333,0,4.02,511.0,185.0,0.0,0.0,543.3333333333334,479,454
VinciSquad,3,8,11.0,64.02463999999999,13.0,6,37.0,313333.3333333333,3,4.0,518.0,175.0,12.0,11.1,517.2146422628952,543,585
5cars,3,9,20.0,63.694784,12.0,6,6.0,192333.3333333333,0,3.78,491.0,187.0,0.0,0.0,512.0,720,620
AMS,3,9,17.0,48.022784,13.0,7,35.0,180000.0,0,3.41,520.0,172.0,10.9,9.3,495.2561174551387,520,546
ANA,3,9,32.0,60.414784,13.0,6,15.0,300000.0,0,3.88,532.0,165.0,9.6,10.5,504.81458003169575,651,530
BandTInc,3,9,15.0,55.374784,15.0,6,27.0,233333.3333333333,0,3.81,500.0,179.0,0.0,0.0,493.6666666666667,834,683
Batmaja,3,9,20.0,32.854783999999995,7.0,6,18.0,275000.0,32,3.81,486.0,180.0,13.6,0.0,445.4822580645161,620,675
Bekarty,3,9,27.0,50.134783999999996,12.0,5,32.0,166666.66666666666,58,3.91,500.0,177.0,10.0,0.0,486.995145631068,673,495
CheckRaise,3,9,16.0,62.726783999999995,8.0,8,33.0,283333.3333333333,43,3.8,474.0,172.0,11.2,10.8,482.62222222222226,641,544
DrugiRusekZ1,3,9,7.0,36.262783999999996,13.0,6,14.0,248333.3333333333,0,3.88,620.0,175.0,7.5,7.1,530.675,418,392
DrugiRusekZ2,3,9,30.0,72.10278399999999,10.0,5,0.0,306666.6666666666,44,3.66,510.0,177.0,9.1,0.0,536.5977198697068,724,463
DrugiRusekZ3,3,9,16.0,60.094784,13.0,5,37.0,166666.66666666666,0,3.45,530.0,175.0,0.0,0.0,533.5,587,519
DrugiRusekZ4,3,9,10.0,65.894784,13.0,6,33.0,150000.0,0,1.75,500.0,173.0,10.2,0.0,494.06616257088837,542,502
DrugiRusekZ5,3,9,11.0,66.50278399999999,12.0,5,17.0,160000.0,0,3.35,509.0,180.0,0.0,0.0,498.6666666666667,625,545
DrugiRusekZ6,3,9,15.0,61.014784,12.0,5,0.0,166666.66666666666,24,2.3,514.0,175.0,0.0,0.0,501.42857142857144,477,400
FullJoin,3,9,12.0,45.134783999999996,14.0,5,39.0,250000.0,8,3.76,506.0,155.0,12.3,12.0,500.8108581436077,653,587
HEATTEAM,3,9,35.0,88.614784,10.0,7,13.0,220000.0,0,3.39,284.0,170.0,10.9,0.0,445.4822580645161,1761,543
Mezzafive,3,9,16.0,30.334783999999996,10.0,6,12.0,216666.66666666666,0,3.82,515.0,185.0,0.0,0.0,490.42857142857144,522,451
MinisterstwoStrategii,3,9,12.0,48.414784,13.0,6,33.0,333333.3333333333,0,3.88,488.0,165.0,10.1,11.4,503.24018838304545,751,534
SGGW,3,9,20.0,54.902784,11.0,5,7.0,173333.3333333333,24,3.57,518.0,185.0,0.0,8.5,499.0,457,500
SystemyGB,3,9,17.0,47.094784,12.0,7,13.0,191666.66666666666,17,3.77,488.0,157.0,11.2,10.7,502.87644151565075,649,560
Triada,3,9,19.0,56.894783999999994,11.0,5,10.0,233333.3333333333,18,2.53,471.0,163.0,8.6,0.0,486.995145631068,571,428
UniversalSolutions,3,9,16.0,62.614784,10.0,5,9.0,180333.3333333333,3,3.92,511.0,185.0,0.0,0.0,473.0,479,476
VinciSquad,3,9,12.0,48.414784,13.0,6,33.0,333333.3333333333,0,3.88,488.0,165.0,11.1,10.6,420.81833060556465,780,544
